Name,Conference,SOS,Comp Percent,Y/A,Att/TD,Att/INT,WR DR,Starter,Draft Position,Age,Height,Weight,Class,Adj.CarAV,Proj AV,Adj,Surplus
Zac Dysert,MAC,-1.037,0.427238806,0.030612245,0.306167401,-0.190804598,0.421,4,234,22,75,231,Fail,0,-0.707927,0,0
Wally Richardson,Big10,4.43,-0.361818182,-0.769911504,-1.109610802,0.190023753,0.81,2,234,22,76,225,Fail,0,-0.707927,0,0
Gibran Hamdan,Big10,2.25,-0.823293173,0.082105263,-1.051783659,-0.909323116,0.566,1,232,21,76,220,Fail,0,-0.647285,0,0
Jeff Kelly,CUSA,-2.71,0.546099291,0.094827586,0.013736264,-0.174204355,0.482,3,232,22,73,212,Fail,0,-0.647285,0,0
James Kilian,WAC,-2.245,-0.496428571,-0.436170213,-0.344047619,-0.922437673,0.403,2,229,24,76,215,Fail,0,-0.556322,0,0
Michael Bishop,Big12,2.85,0.166944908,1.957264957,0.679570896,1.771223022,0.75,2,227,22,73,215,Fail,0,-0.49568,0,0
DJ Shockley,SEC,2.068,-0.454372624,1.145454545,0.793552387,1.707762557,0.336,1,223,22,73,214,Fail,0,-0.374396,0,0
Alex Brink,PAC,2.218,0.209923664,0.681818182,0.445205479,-0.209032258,0.36,3,223,22,74,208,Fail,0,-0.374396,0,0
Casey Bramlet,MWC,1.485,-0.118506494,-0.077586207,0.427370031,0.768770764,0.477,3,218,22,75,225,Fail,0,-0.222791,0,0
Jarious Jackson,IND,6.84,0.495798319,1.458715596,0.566698202,-0.54424307,0.491,2,214,22,73,232,Fail,0,-0.101507,0,0
Josh Freeman,Big12,-2.606,-0.201492537,0.566037736,0.367598684,0.266690856,0.733,3,17,20,78,240,Fail,5.86,5.87173,5.87173,-0.01173
Levi Brown,SunBelt,-3.34,0.953229399,1.247191011,0.075358852,0.861256545,0.42,2,209,22,76,226,Fail,0,0.050098,0.050098,-0.050098
Jordan Palmer,CUSA,-4.323,1.180602007,1.264705882,0.616121309,-0.28021978,0.799,3,205,22,77,232,Fail,0,0.171382,0.171382,-0.171382
Steve Bellisari,Big10,3.73,-0.535460993,1.301724138,0.105311355,-0.180904523,0.725,3,205,21,75,225,Fail,0,0.171382,0.171382,-0.171382
Chad Pennington,MAC,-8.62,2.12605042,2.100917431,1.289498581,0.215351812,0.531,3,18,23,75,230,Fail,5.64,5.841409,5.841409,-0.201409
Tony Pike,BigEast,2.847,0.663697105,0.235955056,1.300239234,0.878534031,0.579,2,204,23,78,223,Fail,0,0.201703,0.201703,-0.201703
John Navarre,Big10,1.396,0.287337662,0.094827586,0.451834862,0.661129568,0.861,3,202,23,78,246,Fail,0,0.262345,0.262345,-0.262345
Todd Husak,PAC,2.06,0.31092437,1.458715596,0.706717124,-0.254797441,0.822,2,202,21,75,216,Fail,0,0.262345,0.262345,-0.262345
Quincy Carter,SEC,1.8,-1.098532495,-0.336842105,-0.421383648,-1.224252492,0.584,3,53,23,74,220,Fail,4.5,4.780174,4.780174,-0.280174
Jeff Smoker,Big10,2.401,0.725649351,-0.163793103,0.127675841,-0.052491694,0.435,4,201,22,75,223,Fail,0,0.292666,0.292666,-0.292666
Kliff Kinsbury,Big12,5.6,2.269076305,-0.128421053,0.87456847,1.251596424,0.236,3,201,23,75,213,Fail,0,0.292666,0.292666,-0.292666
Babe Laufenberg,Big10,5.63,1.021996616,-0.02020202,-0.032129964,0.223260644,0.719,2,168,23,74,198,Fail,1,1.293259,1.293259,-0.293259
Vince Young,Big12,2.776,1.33269962,2.054545455,0.819590825,-0.216568819,0.391,2,3,22,77,229,Fail,6,6.296224,6.296224,-0.296224
Andre Woodson,SEC,2.937,0.687022901,0.227272727,1.321917808,0.666451613,0.423,3,198,23,76,230,Fail,0,0.383629,0.383629,-0.383629
Mike Glennon,ACC,0.15,-0.393656716,-0.173469388,0.417400881,-0.504367816,0.388,2,73,23,79,225,Fail,3.67,4.173754,4.173754,-0.503754
Geno Smith,Big12,0.848,1.975746269,0.846938776,1.06277533,1.939310345,0.947,3,39,22,74,218,Fail,4.67,5.204668,5.204668,-0.534668
Reggie McNeal,Big12,3.579,-0.948669202,0.327272727,0.567885927,-0.41617743,0.679,3,193,22,74,205,Fail,0,0.535234,0.535234,-0.535234
Chuck Clements,CUSA,2.43,1.638181818,-0.238938053,0.717235902,-0.41567696,0.514,4,191,23,75,214,Fail,0,0.595876,0.595876,-0.595876
